,ward,wardLat,wardLong,venue,venueLat,venueLong,venueCat
15788,Norbury & Pollards Hill,51.40651721078431,-0.12351855392156867,River Graveney,51.41329554150738,-0.13069421604834336,River
15789,Norbury & Pollards Hill,51.40651721078431,-0.12351855392156867,FirstServeUK Washing Machine Repairs,51.4137798,-0.1311255,Construction & Landscaping
15790,Norbury Park,51.41643671900826,-0.11266797520661152,The Rookery,51.42185124910819,-0.1185750961303711,Garden
15791,Norbury Park,51.41643671900826,-0.11266797520661152,Rookery Café,51.42213619549863,-0.11959016892877233,Café
15792,Norbury Park,51.41643671900826,-0.11266797520661152,Norbury Park,51.41232326369359,-0.11690139770507812,Park
15793,Norbury Park,51.41643671900826,-0.11266797520661152,Lahore Kebab House,51.4136157999154,-0.12448073364856467,Pakistani Restaurant
15794,Norbury Park,51.41643671900826,-0.11266797520661152,Lidl,51.4145466336331,-0.123521627071194,Supermarket
15795,Norbury Park,51.41643671900826,-0.11266797520661152,Co-op Food,51.410802,-0.107694,Grocery Store
15796,Norbury Park,51.41643671900826,-0.11266797520661152,The Conquering Hero Pub,51.419874,-0.106524,Pub
15797,Norbury Park,51.41643671900826,-0.11266797520661152,Lidl,51.42213583,-0.10633166,Supermarket
15798,Norbury Park,51.41643671900826,-0.11266797520661152,Superdrug,51.4105315435005,-0.12206362730910875,Pharmacy
15799,Norbury Park,51.41643671900826,-0.11266797520661152,Steakout,51.4100600900515,-0.12236454459165229,Steakhouse
15800,Norbury Park,51.41643671900826,-0.11266797520661152,Biggin Wood,51.415762667259756,-0.10723471641540527,Forest
15801,Norbury Park,51.41643671900826,-0.11266797520661152,Norwood Grove,51.420113,-0.114068,Park
15802,Norbury Park,51.41643671900826,-0.11266797520661152,Beulah Hill Pond,51.41932224435512,-0.10612964630126952,Lake
15803,Norbury Park,51.41643671900826,-0.11266797520661152,Tesco Express,51.40982962700099,-0.11734823655612937,Grocery Store
15804,Norbury Park,51.41643671900826,-0.11266797520661152,Bus Stop - Crown Point,51.42190951489584,-0.10612820649995246,Bus Stop
15805,Norbury Park,51.41643671900826,-0.11266797520661152,Co-op Food,51.41041767499,-0.1229916785598937,Grocery Store
15806,Norbury Park,51.41643671900826,-0.11266797520661152,Best-one,51.422209,-0.105998,Convenience Store
15807,Norbury Park,51.41643671900826,-0.11266797520661152,Crown Bakery,51.42225450117799,-0.10598530341982212,Bakery
15808,Norbury Park,51.41643671900826,-0.11266797520661152,Good Taste Chinese Takeaway,51.42226487179372,-0.10585375538182719,Chinese Restaurant
15809,Norbury Park,51.41643671900826,-0.11266797520661152,Crown Kebab,51.422466752900384,-0.10587215423583984,Fast Food Restaurant
15810,Norbury Park,51.41643671900826,-0.11266797520661152,School Wear,51.422535,-0.10545742,Kids Store
15811,Norbury Park,51.41643671900826,-0.11266797520661152,Pascoe Pharmacy,51.42282883378469,-0.10568995615546631,Pharmacy
15812,Norbury Park,51.41643671900826,-0.11266797520661152,Tesco Express,51.42285143856104,-0.10667145252227783,Grocery Store
15813,Norbury Park,51.41643671900826,-0.11266797520661152,Crown Cafe,51.42273254357211,-0.10505918699208548,Café
15814,Norbury Park,51.41643671900826,-0.11266797520661152,Flaxistay Norbury ApartHotel,51.40987798019832,-0.11978807221184999,Hotel
15815,Norbury Park,51.41643671900826,-0.11266797520661152,Maxin Chicken,51.42329633185242,-0.10582923889160156,Fried Chicken Joint
15816,Norbury Park,51.41643671900826,-0.11266797520661152,Cafe Nomad,51.40819536793233,-0.11447174200847852,Mediterranean Restaurant
15817,Norbury Park,51.41643671900826,-0.11266797520661152,Henry Tate Mews,51.42449513717613,-0.11627672165951024,Park
15818,Norbury Park,51.41643671900826,-0.11266797520661152,Mirch Masala,51.410319960107095,-0.12254610749238208,Indian Restaurant
15819,Norland,51.50937103571429,-0.2097483690476191,Cowshed,51.509741038667215,-0.21023537567049785,Massage Studio
15820,Norland,51.50937103571429,-0.2097483690476191,Daunt Books,51.5067285457713,-0.20742072279947663,Bookstore
15821,Norland,51.50937103571429,-0.2097483690476191,Julie's Restaurant and Champagne Bar,51.5101849364976,-0.21039699724624494,Wine Bar
15822,Norland,51.50937103571429,-0.2097483690476191,Melt Chocolates,51.507256,-0.206919,Chocolate Shop
15823,Norland,51.50937103571429,-0.2097483690476191,The Ladbroke Arms,51.509040069837596,-0.20283651616054585,Gastropub
15824,Norland,51.50937103571429,-0.2097483690476191,Core By Clare Smyth,51.512651265916645,-0.20311585807061372,Restaurant
15825,Norland,51.50937103571429,-0.2097483690476191,Flat Three,51.50687,-0.20707928,Japanese Restaurant
15826,Norland,51.50937103571429,-0.2097483690476191,La Piccola Deli,51.507204,-0.207026,Deli / Bodega
15827,Norland,51.50937103571429,-0.2097483690476191,Paul,51.5071353231928,-0.20592420974765313,Bakery
15828,Norland,51.50937103571429,-0.2097483690476191,C. Lidgate,51.50676152319828,-0.20717549459286472,Butcher
15829,Norland,51.50937103571429,-0.2097483690476191,Portobello Road Market,51.514331247292404,-0.20407319068908691,Market
15830,Norland,51.50937103571429,-0.2097483690476191,Stumper & Fielding,51.513283883247325,-0.20278911642140424,Boutique
15831,Norland,51.50937103571429,-0.2097483690476191,The Gold Bar,51.513018486602306,-0.2025308012371744,Bar
15832,Norland,51.50937103571429,-0.2097483690476191,The Hummingbird Bakery,51.51417845118211,-0.20378712764821588,Cupcake Shop
15833,Norland,51.50937103571429,-0.2097483690476191,Pret A Manger,51.507197,-0.206148,Sandwich Place
15834,Norland,51.50937103571429,-0.2097483690476191,Electric Cinema,51.515596749580396,-0.2048219751090962,Movie Theater
15835,Norland,51.50937103571429,-0.2097483690476191,GAIL's Bakery,51.51444555300841,-0.20401322321108425,Bakery
15836,Norland,51.50937103571429,-0.2097483690476191,Holland Park,51.503147775328806,-0.20415301522007212,Park
15837,Norland,51.50937103571429,-0.2097483690476191,Kyoto Garden,51.503037398205116,-0.20457208156585693,Garden
15838,Norland,51.50937103571429,-0.2097483690476191,Alexeeva & Jones Chocolate Boutique,51.513437805765236,-0.203612489898129,Candy Store
15839,Norland,51.50937103571429,-0.2097483690476191,Casa Cruz,51.51266923712485,-0.2112102628994749,Latin American Restaurant
15840,Norland,51.50937103571429,-0.2097483690476191,Fez Mangal,51.51646133344621,-0.209289778187167,Turkish Restaurant
15841,Norland,51.50937103571429,-0.2097483690476191,Alice's,51.51272636058895,-0.20185902442022532,Antique Shop
15842,Norland,51.50937103571429,-0.2097483690476191,T4. (Tea for you),51.50548832268527,-0.21822227711924125,Bubble Tea Shop
15843,Norland,51.50937103571429,-0.2097483690476191,Hilton Breakfast Bar,51.50495694260524,-0.21410080635342832,Breakfast Spot
15844,Norland,51.50937103571429,-0.2097483690476191,Luna Rossa,51.51553135305125,-0.20576186870224092,Italian Restaurant
15845,Norland,51.50937103571429,-0.2097483690476191,KidZania London,51.50847476143269,-0.21992670857217325,Theme Park Ride / Attraction
15846,Norland,51.50937103571429,-0.2097483690476191,Mediterraneo,51.5156240443643,-0.20586259412949082,Italian Restaurant
15847,Norland,51.50937103571429,-0.2097483690476191,Amoret Speciality Coffee,51.51075285859169,-0.1974944507209297,Coffee Shop
15848,Norland,51.50937103571429,-0.2097483690476191,Jeroboams,51.507209061318065,-0.2071712623742202,Cheese Shop
15849,Norland,51.50937103571429,-0.2097483690476191,Osteria Basilico,51.515416493210445,-0.20572776627768932,Italian Restaurant
15850,Norland,51.50937103571429,-0.2097483690476191,Westfield London,51.507393568437536,-0.2213573455810547,Shopping Mall
15851,Norland,51.50937103571429,-0.2097483690476191,Honest Burgers,51.5154370928749,-0.2048493555770392,Burger Joint
15852,Norland,51.50937103571429,-0.2097483690476191,AllSaints,51.51360478423991,-0.20320301038972025,Clothing Store
15853,Norland,51.50937103571429,-0.2097483690476191,Edera,51.50623054133619,-0.20936873993741403,Italian Restaurant
15854,Norland,51.50937103571429,-0.2097483690476191,Eggbreak,51.5083375,-0.1978498,Breakfast Spot
